Date,Word,Freq,Rank,Density(percentage),,,,
2022/03/13,like,223,1,0.47,,,,
2022/03/13,love,162,2,0.34,,,,
2022/03/13,one,134,3,0.28,,,,
2022/03/14,like,317,1,0.46,,,,
2022/03/14,love,245,2,0.36,,,,
2022/03/14,done,210,3,0.31,,,,
2022/03/15,love,154,1,0.37,,,,
2022/03/15,like,142,2,0.34,,,,
2022/03/15,(false),136,3,0.31,,,,
2022/03/16,love,188,1,0.39,,,,"
"
2022/03/16,like,178,2,0.36,,,,
2022/03/16,im,133,3,0.27,,,,
2022/03/17,love,178,1,0.36,,,,
2022/03/17,like,161,2,0.32,,,,
2022/03/17,im,134,3,0.27,,,,
2022/03/18,love,12,1,0.41,,,,
2022/03/18,im,9,2,0.31,,,,
2022/03/18,old,8,3,0.28,,,,
2022/03/19,like,171,1,0.35,,,,
2022/03/19,love,149,2,0.3,,,,
2022/03/19,im,127,3,0.26,,,,
2022/03/20,love,177,1,0.37,,,,
2022/03/20,like,143,2,0.3,,,,
2022/03/20,jungwon,124,3,0.26,,,,
2022/03/21,back,2,1,1.33,,,,
2022/03/21,pharmeasy,2,2,1.33,,,,
2022/03/21,days,2,3,1.33,,,,
2022/03/22,like,226,1,0.48,,,,
2022/03/22,love ,188,2,0.4,,,,
2022/03/22,(false),144,3,0.3,,,,
2022/03/23,like,216,1,0.44,,,,
2022/03/23,im,149,2,0.3,,,,
2022/03/23,love,144,3,0.29,,,,
2022/03/24,like,205,1,0.42,,,,
2022/03/24,love,174,2,0.35,,,,
2022/03/24,get,135,3,0.27,,,,
2022/03/25,like,163,1,0.33,,,,
2022/03/25,love,148,2,0.3,,,,
2022/03/25,one,124,3,0.26,,,,
2022/03/26,like,183,1,0.38,,,,
2022/03/26,love,158,2,0.33,,,,
2022/03/26,im,148,3,0.31,,,,
2022/03/27,love,211,1,0.45,,,,
2022/03/27,like,160,2,0.34,,,,
2022/03/27,im,130,3,0.28,,,,
2022/03/28,like,181,1,0.38,,,,
2022/03/28,love,167,2,0.35,,,,
2022/03/28,dont,157,3,0.33,,,,
2022/03/29,like,207,1,0.43,,,,
2022/03/29,love,175,2,0.36,,,,
2022/03/29,im,155,3,0.32,,,,
2022/03/30,love,73,1,0.65,,,,
2022/03/30,mark,46,2,0.41,,,,
2022/03/30,lee,41,3,0.37,,,,
2022/03/31,like,183,1,0.37,,,,
2022/03/31,done ,158,2,0.32,,,,
2022/03/31,good,137,3,0.28,,,,
2022/04/01,,,,,,,,
2022/04/01,,,,,,,,
2022/04/01,,,,,,,,
2022/04/02,,,,,,,,
2022/04/02,,,,,,,,
2022/04/02,,,,,,,,
2022/04/03,,,,,,,,
2022/04/03,,,,,,,,
2022/04/03,,,,,,,,
2022/04/04,,,,,,,,
2022/04/04,,,,,,,,
2022/04/04,,,,,,,,
2022/04/05,,,,,,,,
2022/04/05,,,,,,,,
2022/04/05,,,,,,,,
2022/04/06,,,,,,,,
2022/04/06,,,,,,,,
2022/04/06,,,,,,,,
2022/04/07,,,,,,,,
2022/04/07,,,,,,,,
2022/04/07,,,,,,,,
2022/04/08,,,,,,,,
2022/04/08,,,,,,,,
2022/04/08,,,,,,,,
2022/04/09,,,,,,,,
2022/04/09,,,,,,,,
2022/04/09,,,,,,,,
2022/04/10,,,,,,,,
2022/04/10,,,,,,,,
2022/04/10,,,,,,,,
2022/04/11,,,,,,,,
2022/04/11,,,,,,,,
2022/04/11,,,,,,,,
2022/04/12,,,,,,,,
2022/04/12,,,,,,,,
2022/04/12,,,,,,,,
2022/04/13,,,,,,,,
2022/04/13,,,,,,,,
2022/04/13,,,,,,,,
2022/04/14,,,,,,,,
2022/04/14,,,,,,,,
2022/04/14,,,,,,,,
2022/04/15,,,,,,,,
2022/04/15,,,,,,,,
2022/04/15,,,,,,,,
2022/04/16,,,,,,,,
2022/04/16,,,,,,,,
2022/04/16,,,,,,,,
2022/04/17,,,,,,,,
2022/04/17,,,,,,,,
2022/04/17,,,,,,,,
2022/04/18,,,,,,,,
2022/04/18,,,,,,,,
2022/04/18,,,,,,,,
2022/04/19,,,,,,,,
2022/04/19,,,,,,,,
2022/04/19,,,,,,,,
2022/04/20,,,,,,,,
2022/04/20,,,,,,,,
2022/04/20,,,,,,,,
