,user_name,user_location,user_description,user_verified,date,text,hashtags,source
0,Rubik’s Cube Zah 🐝♏,,RIP DAMI & ANT #FCKCANCER #BEYHIVE Just trying to get Boobs,False,2022-03-15 11:18:38,@TherealDubG I am not … i don’t hit old ppl,,Twitter for iPhone
1,Rebecca Arraya,,,False,2022-03-15 11:18:38,@dailygnr @gunsnroses is the best band that ever was because of @axlrose 🤘🏼,,Twitter for iPhone
2,Steve,,Let’s go Brandon! IFBAP,False,2022-03-15 11:18:38,@VickiVprey That's what I'm hoping for!,,Twitter Web App
3,Royal Neddy 🐎🐎👑👑🌻🌻🌻🌻🌻🌻🌻,Australia,I dislike bad behaviour and rudeness whoever you may be.😡 I prefer animals to people. They don’t let you down.,False,2022-03-15 11:18:38,@BullRoberts Beautiful 🤩,,Twitter for iPhone
4,Kev,,,False,2022-03-15 11:18:38,Preferably not normal people because I'll read it too but I seen that on TV,,Twitter for Android
5,Ruth D. Scotte,"NY, US",Preparation for old age should begin not later than one's teens. A life which is empty of purpose until 65 will not suddenly become filled on retirement.,False,2022-03-15 11:18:38,"EBOOK Download 〈National Geographic Australia 2019 Wall Calendar〉▶️ by Unknown
✓The easy way to download
✓New releases
✓Free to download https://t.co/u2dQ8kNpVF",,Twitter Web App
6,Korean Jesus | AOD,California,I just do me 😃😂😢😡,False,2022-03-15 11:18:38,"@CEOAdam Good move, did not expect this",,Twitter for iPhone
7,FA Yuleys,,13x Grands | 22k Earned | 18x Cash cup winner,False,2022-03-15 11:18:38,@binxhjs ANSWER THE QUESTION,,Twitter Web App
8,J****,"Miami Beach, FL",Distinguished Collector of Free Stuff $YAYO,False,2022-03-15 11:18:38,Rise n grind its already past 7 if u still havent eaten ur cold beans directly from the can ur ngmi https://t.co/KRf3YeAfJj,,Twitter for iPhone
9,cel // mysta's dog 🕵️‍♂️🦊,vtuber rabbit hole,they/them // i play genshin impact and watch vtubers and draw,False,2022-03-15 11:18:38,@AStrawberryL0L LUXIEM COVERING ROMEO HONEYWORKS,,Twitter for Android
10,Aku Jojooooo,Live Everywhere,just make a personal project,False,2022-03-15 11:18:38,@itsmeaaul @jowoshitpost Mirip,,Twitter for Android
11,Cliffy D,,"SAFC,rocker,NHS worker,anti extremist,wildlife enthusiast,S.E.T.I,boxing fan ,beer and whiskey taster. 🇺🇦 🇾🇪",False,2022-03-15 11:18:38,@JamesCopley_ From gladiators in the Colosseum through to the Berlin Olympics and Putin’s World Cup . Sport has often been used by foul regimes to sanitise themselves.,,Twitter for iPhone
12,ParkChoy,,"Hi! I like to play video games, drink bubble tea, and program!",False,2022-03-15 11:18:38,@sb3rrymk Shit… so that’s what I forgot 😐,,Twitter Web App
13,Life In Kilburn,"Kilburn, England",Tweets about Kilburn and life in and around Kilburn NW London. You can subscribe to our newsletter too! https://t.co/dlv4DhziDA,False,2022-03-15 11:18:38,Great to hear that Nazanin has been given her British passport back. Hopefully she can be back with her family in London for Nowruz on 21st March. 🤞🤞🤞@freenazanin,,Twitter for Android
14,dove! is dreaming,,hw!. tea ♡,False,2022-03-15 11:18:38,tweet on kashmir files or im muting your acc @Tejasvi_Surya,,Twitter for Android
15,WowSuchFutures,,"This is a bot. 
Every day, 12, 6, 4, 1h, the bot tries to find signals for futures.
I use a trailing stop of 0.2 from target. 
Send ideas.
https://t.co/9E8f8q0SIC.ADVICE.",False,2022-03-15 11:18:38,"🟥 SHORT: SOL/USDT
Current price: 80.1
 Take Profit: 79.61963
 Stop Loss: 80.53037
 Time: 2022-03-15 11:18:37-UTC",,WowSuchFutures
16,🇺🇦MichaelMMC, ,13 He/him Gamertag GreekGod3405 besties I would hug if I met them in real life @ArtisticFn_MMC Discord: Alifelinemain#9894 pfp by @ArtisticFn_MMC,False,2022-03-15 11:18:38,@OfficalSkyline Sorry I was doing stuff,,Twitter for iPhone
17,The Real Yashe,Namibia. Windhoek ,"I don't regret anything that made me smile.

  Qualified Electrician⚡
 For all your  Electrical needs, please call me at
+264 81 3829418. 
Former amateur Boxer!",False,2022-03-15 11:18:38,"@ShayelaNepando 😂😂😂 Not that, Covid-19 infections  China increasing now.
By winter things won't be the same here. Mark my words!",,Twitter for Android
18,TELLIANO SCOTT,Philadelphia,I'm from where Hammers Rung and News cameras never come #NORTHPHILLY,False,2022-03-15 11:18:38,My parents come through for me every time 🙏🏿💯,,Twitter for iPhone
19,Manna Tigray,"Melbourne, Victoria",,False,2022-03-15 11:18:38,"With the entire region of #Tigray at severe risk of death due to starvation, it’s imperative there is an immediate &amp; verifiable withdrawal of all invading forces, who cont. to block aid. It’s a matter of life and death! #TigrayFamine #TigrayGenocide @UKUN_NewYork @vickyford @UNDP",['Tigray'],Twitter for iPhone
20,amey,,l am students,False,2022-03-15 11:18:38,"@werenode This undertaking has a great deal of attractions, so ideally the task will be better later on and the digital currency will be the awesome.",,Twitter for Android
21,マリナP ✨,France (フランス),30↑/ 🇫🇷 ☆ 声優➔ 伊東健人•中島ヨシキ/UMake🎶/アニメ/乙女ゲーム/J-pop/K-pop/BL...☆ Tweets in Fr/Eng/日本語(勉強中) ☆ Please read Carrd • Carrdを読んで下さい。 ↓ ↓ ↓,False,2022-03-15 11:18:38,It’s cute !!!,,Twitter for iPhone
22,Tanmaya Kumar Das,Karanjia ,Correspondent at ' BADA KHABAR',False,2022-03-15 11:18:38,"@DRDAGanjam @bdo_aska @Ganjam_Admin @MoSarkar5T @CMO_Odisha Jashipur Block Bakartala high school 
Three students injured https://t.co/qiwrmW4JwT",,Twitter for Android
23,Apu⁷,,"BTS paved the way
Jungkook is the cause of my euphoria 💜
I'm also a weeb",False,2022-03-15 11:18:38,@JungkookAsia__ @BTS_twt Listening to #StayAlive by #JungKook produced by #Suga of @BTS_twt #BTS,"['StayAlive', 'JungKook', 'Suga', 'BTS']",Twitter Web App
24,Denz | SAPNAP IS TALLER,18 | she/they | what,INFJ | She/They | Up to date w/ heartstopper and KNDKD I LOVE,False,2022-03-15 11:18:38,WTF WHY IS BLSS SO EASY,,Twitter for iPhone
25,Alberto Utrilla,,"He/Him, rpg enjoyer, perpetual dm and web developer. Be kind to others.

All goblins are cool",False,2022-03-15 11:18:38,@IiKarnage @Nibellion Maybe that waving was very stupid,,Twitter for Android
26,Courtney Field,"Islington, London","Australian in London. Maker of icecream and baker of bread. Liker of Buddhism, bees, classical Tibetan, and other stuff.",False,2022-03-15 11:18:38,@sleepdiplomat available in Icelandic! https://t.co/btCz1IQbEi,,Twitter for iPhone
27,e,she/her ♡ ,mafia girls cake girls the pinks,False,2022-03-15 11:18:38,prettiest https://t.co/uR258WQ3Mo,,Twitter for iPhone
28,My name is John.,,"He/Him

My name isn't really John.",False,2022-03-15 11:18:38,"@OccupyDemocrats @DerenicByrd When are they charging Trump? Lock up who they want, but until Trump is charged, it's all just a dog and pony show, without accountability for those behind the coup attempt.",,Twitter Web App
29,Green T ☕️,Australia,"Live and let live. Movies, music, politics, science and everything under the sun.",False,2022-03-15 11:18:38,Beautiful 😍 https://t.co/AffrI5dIqi,,Twitter for iPhone
30,K𝒜 I🍑,exo planet ,,False,2022-03-15 11:18:38,"@SMTownEngSub GET WELL SOON KIM JONGIN!

#사랑아종인해 #카이버블
#GetWellSoonKai #KAI
#EXO @weareoneEXO","['사랑아종인해', '카이버블', 'GetWellSoonKai', 'KAI', 'EXO']",Twitter for Android
31,Eric Mayberry,,Truck driver,False,2022-03-15 11:18:38,@robertalives We all should be happy that we are living in a peaceful country and for the things we work hard for and our love ones ❤,,Twitter for Android
32,Pauline Snaith 🌹💙🐈‍⬛#johnsonout,"England, United Kingdom","Not me, him",False,2022-03-15 11:18:38,@snb19692 Great find 🤩🇪🇺,,Twitter for iPad
33,baker of ambush cakes 💙,down by yur,aimlessly serving as example to others...mostly,False,2022-03-15 11:18:38,@mocent0 Do they get to use their yachts?,,Twitter for Android
34,UtdIrish,"Dublin City, Ireland",UTFR #Glazersout,False,2022-03-15 11:18:38,@Dept_ECC Can you detail where the 80% energy will come from?,,Twitter for Android
35,OSWALD RAFFERTY,"Kampala, Uganda",,False,2022-03-15 11:18:38,@SkySportsPL Ban the Chelsea fans from attending matches if they can't comply!!!,,Twitter for Android
36,Craig ross,,,False,2022-03-15 11:18:38,@Greg_Wood_ @bglendenning Is he following the tour de France again,,Twitter for Android
37,Thandar,,,False,2022-03-15 11:18:38,"In Irrawaddy's Ingapu Twp, Htanbingon Vlg: 16 innocent local people were arbitrarily abducted by #MyanmarMilitaryTerrorists on Mar 11.  #2022Mar15Coup #WarCrimesOfJunta #WhatsHappeningInMyanmar https://t.co/n9eYGJuE4S",,Twitter for Android
38,Lady M,"Cirencester, England","Aesthetically blonde, 
intellectually brunette, temperamentally red head!!!
Passionate 💪Strong 🏋️‍♀ Fundraiser Extraordinaire 
Tropic Ambassador
Mum/Nanna 😘",False,2022-03-15 11:18:38,@RadioX @IssyPanayis driving to MCR to blow up 130 balloons for my granddaughter Lenni's 1st birthday TOMORROW! Thanks for Oasis but Stereophonics pleeeeez xxx,,Twitter for Android
39,Mrs Arcanum #FBPPR 🔶 💙 🇪🇺 🌻#StandWithUkraine,Oxfordshire,"Equality = females having bodily autonomy, not dictated by Tradition, Culture or Religion. Dislike the fixation on labels. #JohnsonOut #FBPA DMs get Blocked",False,2022-03-15 11:18:38,@SamanthaMalin You are in love...,,Twitter Web App
40,🥃blink-lilies :),"jakarta, INDONESIA",Movie - music are my passion. i am a BLINK first than LILIES. Blackpink Than Lisa,False,2022-03-15 11:18:38,"@Lsglobal_ @loveself1204 I hope you guys get to see her

LISA IN ETERNAL CITY
#LalisaRomana",['LalisaRomana'],Twitter for iPhone
41,Chikacha,Nigeria,"🎀Medical Student























🎀Entrepreneur",False,2022-03-15 11:18:38,@drpepple__ Ohhh!! Well done Sir😚,,Twitter for iPhone
42,FORM ON 📌,SOON +62 BASED.,"TEMPORARY — True love exists for all eternity, yet not all love stories end happily.",False,2022-03-15 11:18:38,"@Seonghwangi good luck, seonghwa",,Twitter Web App
43,Billy Wright,,Anti war pacifist.,False,2022-03-15 11:18:38,"@Investagram2 @Independent_ie It was illegal and thus a war crime. There was no UN mandate.
https://t.co/5kA6K8yTQb

See how I disproved another one of your false claims about nato",,Twitter for Android
44,Mrs M❁,South Africa,She is just built differently,False,2022-03-15 11:18:38,@CapitecBankSA why u branch at Brooklyn mall has only 2 consultants? How are we supposed to get assistance?,,Twitter for Android
45,Guneet,"नोएडा, भारत",Automation Engineer by Profession| Coder by knowledge | Build Django based websites |  Learning Embeded Automation | Robot Framework Developer ✌✌✌✌,False,2022-03-15 11:18:38,@ThePSF I worked on IMS system which helps omnichannel market to digitize their sells and profits of day to day business and convert them to invoice management system.✌🙂,,Twitter for Android
46,ae-ningning | INVU 🏹,,never beating the akgae allegations,False,2022-03-15 11:18:38,THEE MAIN SLAYER https://t.co/vfKnu81uYj,,Twitter Web App
47,Sushil Kumar Modi,"Patna, Bihar, India","Member of Parliament, Rajya Sabha & Former Deputy Chief Minister, Bihar",True,2022-03-15 11:18:38,"Informing about the update on insolvency proceedings, the ministry told that after the corporate insolvency and resolution process was initiated, liquidation order for ABG was passed on 25.4.19 by NCLT and the liquidator for the same has been appointed.",,Twitter for iPhone
48,Pepe Isern,,"We can discuss anything with respect and sense of humor. Catholic. Matthew 5:1-12, 31-46. RT≠Agree .",False,2022-03-15 11:18:38,@RealPepeEscobar Russia a great free place to live and be able to express your opinion…. https://t.co/zjJifEtG1S,,Twitter for iPhone
49,Asad,,I am studying,False,2022-03-15 11:18:38,Mother is very truelove our with offspring https://t.co/8ldsXo0bPi,,Twitter for Android
50,👑💫สลายร่าง🪄🧝🏻‍♀️,,love sailor moon ตัวแทนแห่งดวงจันทร์ จะลงทัณฑ์แกเอง,False,2022-03-15 11:18:38,"@jaolala_m ✈️🐱 let’s go to the show

LISA IN ETERNAL CITY
#LalisaRomana",['LalisaRomana'],Twitter for iPhone
